fold,BRCA_Subtype_PAM50,event,n_patients,fold_total,proportion
1,LumA,0,76,112,0.6785714285714286
1,LumA,1,8,112,0.07142857142857142
1,LumB,0,23,112,0.20535714285714285
1,LumB,1,5,112,0.044642857142857144
2,LumA,0,75,111,0.6756756756756757
2,LumA,1,8,111,0.07207207207207207
2,LumB,0,23,111,0.2072072072072072
2,LumB,1,5,111,0.04504504504504504
3,LumA,0,75,111,0.6756756756756757
3,LumA,1,8,111,0.07207207207207207
3,LumB,0,23,111,0.2072072072072072
3,LumB,1,5,111,0.04504504504504504
4,LumA,0,75,111,0.6756756756756757
4,LumA,1,8,111,0.07207207207207207
4,LumB,0,23,111,0.2072072072072072
4,LumB,1,5,111,0.04504504504504504
5,LumA,0,75,111,0.6756756756756757
5,LumA,1,8,111,0.07207207207207207
5,LumB,0,23,111,0.2072072072072072
5,LumB,1,5,111,0.04504504504504504
