gene,importance,modalities,n_features,rank
MAPT,0.009199782289781364,METH+RNA,3,1
ESR1,0.008854441564684365,METH+RNA,42,2
UBE2T,0.008724044488613863,METH+RNA,8,3
EGFR,0.008512943912638625,METH+RNA,7,4
PHGDH,0.008508684576349112,METH+RNA,5,5
FOXA1,0.008416364104235177,METH+RNA,9,6
KRT17,0.008349747251827695,RNA,1,7
NUF2,0.008289525116885112,METH+RNA,3,8
SFRP1,0.008275892114688078,METH+RNA,22,9
MIA,0.00811892226295462,METH+RNA,3,10
MYBL2,0.008093551707385356,METH+RNA,6,11
KRT5,0.008070598129490911,METH+RNA,10,12
TYMS,0.008065651876927255,METH+RNA,3,13
CDH3,0.007984387503663582,METH+RNA,10,14
GRB7,0.007973455252680131,METH+RNA,13,15
CENPF,0.007926535895728205,METH+RNA,6,16
ERBB2,0.007922225278384081,METH+RNA,15,17
BIRC5,0.007823088221402071,METH+RNA,5,18
TMEM45B,0.0077814363774350755,METH+RNA,2,19
FOXC1,0.007770862675059557,METH+RNA,15,20
CXXC5,0.007766434590343537,METH+RNA,4,21
MDM2,0.007735414803846346,METH+RNA,5,22
MYC,0.007609066234642117,METH+RNA,11,23
MLPH,0.007542414550216312,METH+RNA,6,24
BLVRA,0.007499715995448019,METH+RNA,4,25
PGR,0.007495925359065018,METH+RNA,14,26
UBE2C,0.007446035529361621,METH+RNA,12,27
FGFR4,0.007415129248367374,METH+RNA,9,28
CEP55,0.007249851653303866,METH+RNA,4,29
CDC6,0.007202906145672993,METH+RNA,5,30
SLC39A6,0.007144278822492998,METH+RNA,2,31
MMP11,0.007110993111191255,METH+RNA,8,32
NAT1,0.00710909127293265,METH+RNA,10,33
GPR160,0.00707387309122228,METH+RNA,6,34
BCL2,0.00704483791313533,METH+RNA,8,35
MELK,0.007022244729464493,METH+RNA,3,36
ORC6,0.006996067123096975,METH+RNA,3,37
ACTR3B,0.006964792775741878,METH+RNA,4,38
NDC80,0.006941505127990816,METH+RNA,7,39
CDC20,0.00692123004451706,RNA,1,40
CCNE1,0.006813669208532765,METH+RNA,5,41
ANLN,0.006803465310332644,METH+RNA,2,42
EXO1,0.006791693059768726,METH+RNA,5,43
MKI67,0.006771376817133365,METH+RNA,2,44
KIF2C,0.00659082015742869,RNA,1,45
RRM2,0.0064742129692184095,METH+RNA,2,46
BAG1,0.00636804634902199,METH+RNA,2,47
CCNB1,0.006216343658333346,METH+RNA,3,48
PTTG1,0.006040010824421005,METH+RNA,2,49
KRT14,0.005998108646860646,METH+RNA,2,50
