model,feature,modality,gene,cpg,importance,rank
NN_mRNA,RNA: CENPF,RNA,CENPF,,0.025268044247111997,1
NN_mRNA,RNA: GRB7,RNA,GRB7,,0.02199073004157392,2
NN_mRNA,RNA: KIF2C,RNA,KIF2C,,0.021924749023593405,3
NN_mRNA,RNA: FOXC1,RNA,FOXC1,,0.02175301728698675,4
NN_mRNA,RNA: BIRC5,RNA,BIRC5,,0.021307886805728128,5
NN_mRNA,RNA: UBE2T,RNA,UBE2T,,0.020893861692206857,6
NN_mRNA,RNA: EGFR,RNA,EGFR,,0.020751481068659556,7
NN_mRNA,RNA: KRT17,RNA,KRT17,,0.020023828911662392,8
NN_mRNA,RNA: PGR,RNA,PGR,,0.019586416399542696,9
NN_mRNA,RNA: ORC6,RNA,ORC6,,0.019319639535936458,10
NN_mRNA,RNA: MYBL2,RNA,MYBL2,,0.018291405216417925,11
NN_mRNA,RNA: MYC,RNA,MYC,,0.017868815874552545,12
NN_mRNA,RNA: MELK,RNA,MELK,,0.01767303879333175,13
NN_mRNA,RNA: SFRP1,RNA,SFRP1,,0.017147119695307363,14
NN_mRNA,RNA: TMEM45B,RNA,TMEM45B,,0.01705668260295247,15
NN_mRNA,RNA: KRT5,RNA,KRT5,,0.01690814428367373,16
NN_mRNA,RNA: CDC20,RNA,CDC20,,0.01664872394271345,17
NN_mRNA,RNA: GPR160,RNA,GPR160,,0.01627438914533369,18
NN_mRNA,RNA: ESR1,RNA,ESR1,,0.01603342135677007,19
NN_mRNA,RNA: NDC80,RNA,NDC80,,0.015941859848903443,20
NN_mRNA,RNA: MMP11,RNA,MMP11,,0.015630515935627656,21
NN_mRNA,RNA: MAPT,RNA,MAPT,,0.015337004063167757,22
NN_mRNA,RNA: MKI67,RNA,MKI67,,0.015266147997706855,23
NN_mRNA,RNA: NUF2,RNA,NUF2,,0.015258038285909164,24
NN_mRNA,RNA: CDH3,RNA,CDH3,,0.01511225905270275,25
NN_mRNA,RNA: RRM2,RNA,RRM2,,0.015001819243456118,26
NN_mRNA,RNA: MIA,RNA,MIA,,0.014790004569833213,27
NN_mRNA,RNA: BCL2,RNA,BCL2,,0.014723896679307936,28
NN_mRNA,RNA: NAT1,RNA,NAT1,,0.01398051990779287,29
NN_mRNA,RNA: CDC6,RNA,CDC6,,0.01308752696417405,30
NN_mRNA,RNA: CCNE1,RNA,CCNE1,,0.012759322276018593,31
NN_mRNA,RNA: CCNB1,RNA,CCNB1,,0.012507168893781116,32
NN_mRNA,RNA: BLVRA,RNA,BLVRA,,0.012419830747576376,33
NN_mRNA,RNA: ANLN,RNA,ANLN,,0.01230617797933891,34
NN_mRNA,RNA: KRT14,RNA,KRT14,,0.012286131426152884,35
NN_mRNA,RNA: SLC39A6,RNA,SLC39A6,,0.011915730394227154,36
NN_mRNA,RNA: PTTG1,RNA,PTTG1,,0.011745782919636467,37
NN_mRNA,RNA: BAG1,RNA,BAG1,,0.01163750738768604,38
NN_mRNA,RNA: ACTR3B,RNA,ACTR3B,,0.011548900432157753,39
NN_mRNA,RNA: TYMS,RNA,TYMS,,0.011360660392049521,40
NN_mRNA,RNA: EXO1,RNA,EXO1,,0.011087707347449391,41
NN_mRNA,RNA: MDM2,RNA,MDM2,,0.010315965640092364,42
NN_mRNA,RNA: CEP55,RNA,CEP55,,0.009838206331498114,43
NN_mRNA,RNA: FGFR4,RNA,FGFR4,,0.009677707961833456,44
NN_mRNA,RNA: FOXA1,RNA,FOXA1,,0.009494025325438716,45
NN_mRNA,RNA: UBE2C,RNA,UBE2C,,0.009493017040223655,46
NN_mRNA,RNA: ERBB2,RNA,ERBB2,,0.0088959349479888,47
NN_mRNA,RNA: CXXC5,RNA,CXXC5,,0.00826568905994047,48
NN_mRNA,RNA: PHGDH,RNA,PHGDH,,0.007402821175714511,49
NN_mRNA,RNA: MLPH,RNA,MLPH,,0.006897241887175744,50
