gene,n_models,models
BLVRA,2,"LASSO_mRNA, LASSO_multiomics"
EGFR,2,"NN_mRNA, NN_integrated"
ESR1,2,"LASSO_multiomics, NN_integrated"
EXO1,2,"LASSO_mRNA, LASSO_multiomics"
FOXA1,2,"LASSO_multiomics, NN_integrated"
GRB7,2,"NN_mRNA, NN_integrated"
KIF2C,2,"LASSO_mRNA, NN_mRNA"
KRT17,2,"NN_mRNA, NN_integrated"
KRT5,2,"LASSO_mRNA, NN_integrated"
MAPT,2,"LASSO_mRNA, NN_integrated"
MELK,2,"LASSO_mRNA, NN_mRNA"
MLPH,2,"LASSO_mRNA, LASSO_multiomics"
MMP11,2,"LASSO_mRNA, LASSO_multiomics"
NUF2,2,"LASSO_mRNA, NN_integrated"
UBE2T,2,"NN_mRNA, NN_integrated"
MYBL2,3,"LASSO_mRNA, NN_mRNA, NN_integrated"
SFRP1,3,"LASSO_multiomics, NN_mRNA, NN_integrated"
