stage,config_id,batch_norm,batch_size,patience,learning_rate,weight_decay,num_nodes,dropout,mean_train_c_index,sd_train_c_index,mean_val_c_index,sd_val_c_index,mean_test_c_index,sd_test_c_index,mean_epochs_trained,overfit_gap
conservative_joint_tuning,81,False,32,10,0.001,0.001,[16],0.6,0.6586995453837392,0.019910953671306516,0.6126647532613513,0.08219950768180304,0.6205355855367433,0.05636928184613898,11.8,0.046034792122387924
conservative_joint_tuning,105,False,32,10,0.001,0.03,[16],0.6,0.6585330792885161,0.019868558659892406,0.612256589996045,0.08280034032666861,0.6199923661058586,0.05689766550047416,11.8,0.04627648929247108
conservative_joint_tuning,93,False,32,10,0.001,0.01,[16],0.6,0.6586695514999027,0.019918060547223813,0.6121996369822814,0.08193336053822275,0.6200950569023821,0.056565246006589576,11.8,0.04646991451762128
conservative_joint_tuning,80,False,32,10,0.001,0.001,[16],0.5,0.6620040344020877,0.02124838816692978,0.6109871341827191,0.08574033959149022,0.626311593618967,0.06058677541462213,11.8,0.051016900219368555
conservative_joint_tuning,104,False,32,10,0.001,0.03,[16],0.5,0.6611280985384571,0.020864892819169638,0.6105209337165187,0.08630114922591395,0.6277219155760628,0.06136494050568554,11.8,0.05060716482193839
conservative_joint_tuning,92,False,32,10,0.001,0.01,[16],0.5,0.6619749836578188,0.02126583204717417,0.6105209337165187,0.08630114922591395,0.626649431456805,0.06077044629768109,11.8,0.051454049941300095
conservative_joint_tuning,91,False,32,10,0.001,0.01,[16],0.4,0.6664768204235032,0.023134192221041697,0.6074338256645395,0.09150103822103098,0.6214852297382006,0.0611964935526723,11.8,0.059042994758963685
conservative_joint_tuning,55,False,32,10,0.0003,0.01,[16],0.4,0.647802499299233,0.01291419216653832,0.6066852990971577,0.07669607740427466,0.6262867268770111,0.05555271874046494,11.8,0.04111720020207521
conservative_joint_tuning,67,False,32,10,0.0003,0.03,[16],0.4,0.647805287243056,0.012857986533153442,0.6066852990971577,0.07669607740427466,0.6262867268770111,0.05555271874046494,11.8,0.041119988145898234
conservative_joint_tuning,43,False,32,10,0.0003,0.001,[16],0.4,0.6477275794484406,0.012780584543091411,0.6066852990971577,0.07669607740427466,0.6259488890391733,0.055400497771102605,11.8,0.04104228035128288
conservative_joint_tuning,79,False,32,10,0.001,0.001,[16],0.4,0.6663772438400661,0.022951974451570017,0.6066174991339273,0.09266442026705854,0.6207298553659161,0.061450267144897354,11.8,0.05975974470613887
conservative_joint_tuning,103,False,32,10,0.001,0.03,[16],0.4,0.6662556971985076,0.0229271696399107,0.6066153155251862,0.09153515050537422,0.6223640229978733,0.060022720856101865,11.8,0.05964038167332142
conservative_joint_tuning,45,False,32,10,0.0003,0.001,[16],0.6,0.6451265108946374,0.011188168975211224,0.6042875098958176,0.07333674698542289,0.626567279148567,0.054003642699805385,11.8,0.04083900099881976
conservative_joint_tuning,57,False,32,10,0.0003,0.01,[16],0.6,0.6449787014526333,0.011073229819364308,0.6042875098958176,0.07333674698542289,0.626567279148567,0.054003642699805385,11.8,0.040691191556815665
conservative_joint_tuning,69,False,32,10,0.0003,0.03,[16],0.6,0.6447614532914738,0.010982399978874015,0.6042875098958176,0.07333674698542289,0.6270078077829283,0.05375462887337579,11.8,0.04047394339565624
conservative_joint_tuning,44,False,32,10,0.0003,0.001,[16],0.5,0.6466345991985157,0.012350152050539916,0.603882614426383,0.073874746619414,0.6293082243661496,0.05555436319212824,11.8,0.04275198477213271
conservative_joint_tuning,56,False,32,10,0.0003,0.01,[16],0.5,0.6466285991190903,0.012338441123721546,0.603882614426383,0.073874746619414,0.6293082243661496,0.05555436319212824,11.8,0.042745984692707295
conservative_joint_tuning,68,False,32,10,0.0003,0.03,[16],0.5,0.6466336560589481,0.012387891500524478,0.603882614426383,0.073874746619414,0.6297487530005108,0.05532889791923764,11.8,0.042751041632565046
conservative_joint_tuning,7,False,32,10,0.0001,0.001,[16],0.4,0.6397133965988459,0.009160233822785482,0.6018229642930987,0.06997930587687469,0.6278966067365999,0.052831042539468694,11.8,0.03789043230574718
conservative_joint_tuning,31,False,32,10,0.0001,0.03,[16],0.4,0.6396416888836559,0.00908152892242585,0.6018229642930987,0.06997930587687469,0.6278966067365999,0.052831042539468694,11.8,0.03781872459055724
conservative_joint_tuning,19,False,32,10,0.0001,0.01,[16],0.4,0.6397133965988459,0.009160233822785482,0.6018229642930987,0.06997930587687469,0.6278966067365999,0.052831042539468694,11.8,0.03789043230574718
conservative_joint_tuning,9,False,32,10,0.0001,0.001,[16],0.6,0.6380098667490082,0.00881134168441358,0.6014148010277924,0.07059104072390215,0.6284375621584345,0.05205686792504802,11.8,0.036595065721215736
conservative_joint_tuning,33,False,32,10,0.0001,0.03,[16],0.6,0.6380449175727027,0.008832158046689154,0.6014148010277924,0.07059104072390215,0.6284375621584345,0.05205686792504802,11.8,0.03663011654491022
conservative_joint_tuning,21,False,32,10,0.0001,0.01,[16],0.6,0.6380465236405038,0.008862109549050107,0.6014148010277924,0.07059104072390215,0.6284375621584345,0.05205686792504802,11.8,0.036631722612711415
conservative_joint_tuning,8,False,32,10,0.0001,0.001,[16],0.5,0.638514608699161,0.009264459133201869,0.6013578480140287,0.06957595148904795,0.6297451933190069,0.05315085582121159,11.8,0.037156760685132295
conservative_joint_tuning,32,False,32,10,0.0001,0.03,[16],0.5,0.6384802208037003,0.009320928618435352,0.6013578480140287,0.06957595148904795,0.6301857219533681,0.05293352175070867,11.8,0.037122372789671565
conservative_joint_tuning,20,False,32,10,0.0001,0.01,[16],0.5,0.6384802208037003,0.009320928618435352,0.6013578480140287,0.06957595148904795,0.6301857219533681,0.05293352175070867,11.8,0.037122372789671565
conservative_joint_tuning,30,False,32,10,0.0001,0.03,[8],0.6,0.5009754357008646,0.027879326556278113,0.5956365604260909,0.06057761047308746,0.5323395981815189,0.07731446535584503,12.0,-0.09466112472522636
conservative_joint_tuning,18,False,32,10,0.0001,0.01,[8],0.6,0.5010838003075501,0.027805492782330275,0.5956365604260909,0.06057761047308746,0.5323395981815189,0.07731446535584503,12.0,-0.09455276011854086
conservative_joint_tuning,6,False,32,10,0.0001,0.001,[8],0.6,0.5010076985807359,0.027728744392965354,0.595198923664603,0.06029250672175649,0.5323395981815189,0.07731446535584503,12.0,-0.09419122508386713
conservative_joint_tuning,5,False,32,10,0.0001,0.001,[8],0.5,0.5013464212503035,0.027716244274933678,0.5950542703236221,0.0603893755222203,0.5329715536664155,0.07743781165940758,12.0,-0.09370784907331864
conservative_joint_tuning,17,False,32,10,0.0001,0.01,[8],0.5,0.5013083984366153,0.027756797342148226,0.5950542703236221,0.0603893755222203,0.5329715536664155,0.07743781165940758,12.0,-0.09374587188700678
conservative_joint_tuning,29,False,32,10,0.0001,0.03,[8],0.5,0.5013494493397351,0.027791315620479307,0.5946166335621342,0.060098078781612885,0.5329715536664155,0.07743781165940758,12.0,-0.0932671842223991
conservative_joint_tuning,16,False,32,10,0.0001,0.01,[8],0.4,0.5012953990387589,0.02773876534437105,0.5941809907792462,0.06117507932696665,0.5322369073849954,0.07735734732627007,12.0,-0.09288559174048738
conservative_joint_tuning,28,False,32,10,0.0001,0.03,[8],0.4,0.501333421852447,0.027698860624365284,0.5941809907792462,0.06117507932696665,0.5322369073849954,0.07735734732627007,12.0,-0.09284756892679924
conservative_joint_tuning,4,False,32,10,0.0001,0.001,[8],0.4,0.5013320559302544,0.027679764235490702,0.5937433540177584,0.060879695136052424,0.5322369073849954,0.07735734732627007,12.0,-0.09241129808750392
conservative_joint_tuning,41,False,32,10,0.0003,0.001,[8],0.5,0.503695114096929,0.027798496689184864,0.5897534776907417,0.06366240356840519,0.5338823763834057,0.0786079643140958,12.0,-0.08605836359381269
conservative_joint_tuning,65,False,32,10,0.0003,0.03,[8],0.5,0.5036517541320489,0.027876226753896848,0.5893158409292537,0.06337817147453774,0.5338823763834057,0.0786079643140958,12.0,-0.08566408679720483
conservative_joint_tuning,84,False,32,10,0.001,0.001,"[8, 4]",0.6,0.606311139754789,0.042955255918117705,0.5891293210008944,0.06522469240670509,0.6291259847838063,0.08676560114889677,11.2,0.017181818753894573
conservative_joint_tuning,108,False,32,10,0.001,0.03,"[8, 4]",0.6,0.6063491625684772,0.042945200502995724,0.5891293210008944,0.06522469240670509,0.6281175814224618,0.08772546693520018,11.2,0.017219841567582717
conservative_joint_tuning,42,False,32,10,0.0003,0.001,[8],0.6,0.5032760732218027,0.027379941189831707,0.5889908363780214,0.06236987704196411,0.5328328843640622,0.07921701599229301,12.0,-0.08571476315621873
conservative_joint_tuning,66,False,32,10,0.0003,0.03,[8],0.6,0.5032022965904611,0.027388770703209806,0.5889908363780214,0.06236987704196411,0.5328328843640622,0.07921701599229301,12.0,-0.08578853978756029
conservative_joint_tuning,54,False,32,10,0.0003,0.01,[8],0.6,0.5031969995049946,0.02739206763479789,0.5889908363780214,0.06236987704196411,0.5328328843640622,0.07921701599229301,12.0,-0.08579383687302677
conservative_joint_tuning,53,False,32,10,0.0003,0.01,[8],0.5,0.5035502926786309,0.02784174942587385,0.5889076776639476,0.06359408607792022,0.5341764940304644,0.07838314818072929,12.0,-0.08535738498531664
conservative_joint_tuning,96,False,32,10,0.001,0.01,"[8, 4]",0.6,0.6062350941274126,0.042975864302172824,0.5886916842394065,0.0647944134367858,0.6284537158762433,0.08740021939254818,11.2,0.017543409888006067
conservative_joint_tuning,40,False,32,10,0.0003,0.001,[8],0.4,0.5033990001242566,0.02738241824366723,0.5884414771977472,0.06393581794967028,0.532830252831282,0.07720960880901731,12.0,-0.08504247707349055
conservative_joint_tuning,52,False,32,10,0.0003,0.01,[8],0.4,0.5034026350424841,0.02732332981012782,0.5884414771977472,0.06393581794967028,0.532830252831282,0.07720960880901731,12.0,-0.08503884215526314
conservative_joint_tuning,64,False,32,10,0.0003,0.03,[8],0.4,0.5033690062404201,0.027451636974439877,0.5884414771977472,0.06393581794967028,0.532830252831282,0.07720960880901731,12.0,-0.08507247095732706
conservative_joint_tuning,60,False,32,10,0.0003,0.01,"[8, 4]",0.6,0.6124708355722794,0.0435173797433251,0.5860658636704787,0.0624729504455755,0.6230755646157391,0.09319725951562023,11.2,0.02640497190180069
conservative_joint_tuning,24,False,32,10,0.0001,0.01,"[8, 4]",0.6,0.6140297709334962,0.044342177247374284,0.5851905901475029,0.06180379805288552,0.619714220077924,0.09740094061734852,11.2,0.028839180785993346
conservative_joint_tuning,72,False,32,10,0.0003,0.03,"[8, 4]",0.6,0.6124708355722794,0.0435173797433251,0.5851905901475029,0.06180379805288552,0.6230755646157391,0.09319725951562023,11.2,0.027280245424776584
conservative_joint_tuning,12,False,32,10,0.0001,0.001,"[8, 4]",0.6,0.6140297709334962,0.044342177247374284,0.5851905901475029,0.06180379805288552,0.619714220077924,0.09740094061734852,11.2,0.028839180785993346
conservative_joint_tuning,48,False,32,10,0.0003,0.001,"[8, 4]",0.6,0.6124328127585913,0.04350055714760911,0.5851905901475029,0.06180379805288552,0.6230755646157391,0.09319725951562023,11.2,0.02724222261108844
conservative_joint_tuning,36,False,32,10,0.0001,0.03,"[8, 4]",0.6,0.6139537253061198,0.044295935514001995,0.5847529533860149,0.06148985526881813,0.619714220077924,0.09740094061734852,11.2,0.02920077192010495
conservative_joint_tuning,35,False,32,10,0.0001,0.03,"[8, 4]",0.5,0.6144480218840666,0.0446072378990074,0.5847529533860149,0.06148985526881813,0.619714220077924,0.09740094061734852,11.2,0.029695068498051702
conservative_joint_tuning,11,False,32,10,0.0001,0.001,"[8, 4]",0.5,0.6144480218840666,0.0446072378990074,0.584315316624527,0.06118995348542606,0.619714220077924,0.09740094061734852,11.2,0.030132705259539594
conservative_joint_tuning,23,False,32,10,0.0001,0.01,"[8, 4]",0.5,0.6144480218840666,0.0446072378990074,0.584315316624527,0.06118995348542606,0.619714220077924,0.09740094061734852,11.2,0.030132705259539594
conservative_joint_tuning,10,False,32,10,0.0001,0.001,"[8, 4]",0.4,0.6150944097167662,0.04505201090994559,0.583877679863039,0.060904300122955723,0.619714220077924,0.09740094061734852,11.2,0.031216729853727254
conservative_joint_tuning,34,False,32,10,0.0001,0.03,"[8, 4]",0.4,0.6150563869030778,0.0450246850377498,0.583877679863039,0.060904300122955723,0.619714220077924,0.09740094061734852,11.2,0.03117870704003889
conservative_joint_tuning,22,False,32,10,0.0001,0.01,"[8, 4]",0.4,0.6150944097167662,0.04505201090994559,0.583877679863039,0.060904300122955723,0.619714220077924,0.09740094061734852,11.2,0.031216729853727254
conservative_joint_tuning,107,False,32,10,0.001,0.03,"[8, 4]",0.5,0.6089347138992757,0.042655259598897904,0.583002406340063,0.06037653752372815,0.619041951170361,0.09828908590505364,11.2,0.02593230755921272
conservative_joint_tuning,95,False,32,10,0.001,0.01,"[8, 4]",0.5,0.6092388964087815,0.04267254753063116,0.583002406340063,0.06037653752372815,0.6180335478090164,0.099648984682422,11.2,0.026236490068718532
conservative_joint_tuning,88,False,32,10,0.001,0.01,[8],0.4,0.517258962276309,0.023745509873186188,0.5825922504105414,0.0708868308785909,0.5189522116310307,0.07387627727701097,12.0,-0.06533328813423245
conservative_joint_tuning,59,False,32,10,0.0003,0.01,"[8, 4]",0.5,0.6126229268270322,0.043586263701426174,0.582564769578575,0.06013481044555461,0.619714220077924,0.09740094061734852,11.2,0.030058157248457285
conservative_joint_tuning,58,False,32,10,0.0003,0.01,"[8, 4]",0.4,0.6159689344315951,0.04571965302072133,0.582564769578575,0.06013481044555461,0.6187058167165794,0.09873874513619099,11.2,0.03340416485302011
conservative_joint_tuning,47,False,32,10,0.0003,0.001,"[8, 4]",0.5,0.6126609496407206,0.04360388214070686,0.582564769578575,0.06013481044555461,0.619714220077924,0.09740094061734852,11.2,0.03009618006214565
conservative_joint_tuning,83,False,32,10,0.001,0.001,"[8, 4]",0.5,0.6092769192224696,0.04267547027817368,0.582564769578575,0.06013481044555461,0.6180335478090164,0.099648984682422,11.2,0.026712149643894678
conservative_joint_tuning,70,False,32,10,0.0003,0.03,"[8, 4]",0.4,0.6158548659905304,0.04562837072275524,0.582564769578575,0.06013481044555461,0.619041951170361,0.09828908590505364,11.2,0.03329009641195546
conservative_joint_tuning,71,False,32,10,0.0003,0.03,"[8, 4]",0.5,0.6126989724544087,0.04362165917723278,0.582564769578575,0.06013481044555461,0.619714220077924,0.09740094061734852,11.2,0.030134202875833793
conservative_joint_tuning,46,False,32,10,0.0003,0.001,"[8, 4]",0.4,0.6158928888042186,0.04565866011295376,0.582564769578575,0.06013481044555461,0.6187058167165794,0.09873874513619099,11.2,0.033328119225643604
conservative_joint_tuning,100,False,32,10,0.001,0.03,[8],0.4,0.5170772838866321,0.023886607063725755,0.5821238663356001,0.07001426395966612,0.520303562982382,0.07500246291824834,12.0,-0.065046582448968
conservative_joint_tuning,76,False,32,10,0.001,0.001,[8],0.4,0.5172582993480753,0.023692806567760342,0.5816884131828529,0.07101571310099258,0.5188725129344217,0.07498285462514796,12.0,-0.06443011383477759
conservative_joint_tuning,106,False,32,10,0.001,0.03,"[8, 4]",0.4,0.6133453602871083,0.043947941029411845,0.5760002181562556,0.05838718788277991,0.6156806066325459,0.10294436412546437,11.2,0.037345142130852715
conservative_joint_tuning,94,False,32,10,0.001,0.01,"[8, 4]",0.4,0.6138776796787433,0.04425029889682239,0.5755625813947676,0.05840014556855641,0.6153444721787643,0.10342841062936604,11.2,0.038315098283975724
conservative_joint_tuning,82,False,32,10,0.001,0.001,"[8, 4]",0.4,0.6139157024924315,0.04427304144835283,0.5755625813947676,0.05840014556855641,0.6156806066325459,0.10294436412546437,11.2,0.03835312109766398
conservative_joint_tuning,89,False,32,10,0.001,0.01,[8],0.5,0.5174453680379987,0.024294348227025447,0.5754032355760902,0.06387715417247129,0.5188366873419831,0.08062185285560641,12.0,-0.05795786753809151
conservative_joint_tuning,77,False,32,10,0.001,0.001,[8],0.5,0.5175662517513234,0.02442170692100223,0.5754032355760902,0.06387715417247129,0.5182484520478654,0.08095123964344186,12.0,-0.05783698382476676
conservative_joint_tuning,78,False,32,10,0.001,0.001,[8],0.6,0.5189461315648527,0.02547435326327849,0.5751473454306391,0.0670424952005551,0.5137992929342855,0.0782090565227268,12.0,-0.05620121386578636
conservative_joint_tuning,90,False,32,10,0.001,0.01,[8],0.6,0.5189239665309848,0.025488362642966497,0.5751473454306391,0.0670424952005551,0.5137195942376765,0.07921366044210562,12.0,-0.05622337889965423
conservative_joint_tuning,102,False,32,10,0.001,0.03,[8],0.6,0.5191063479146205,0.025328272366109822,0.5751473454306391,0.0670424952005551,0.5141388341561797,0.07825611893293369,12.0,-0.05604099751601854
conservative_joint_tuning,101,False,32,10,0.001,0.03,[8],0.5,0.5174810817899265,0.02440121366926233,0.5740637555655139,0.06499685060604087,0.5185425696949243,0.08078403711680264,12.0,-0.056582673775587455
conservative_joint_tuning,73,False,32,10,0.001,0.001,[4],0.4,0.4227968152516269,0.01615402087597573,0.31468495870694324,0.054528640570289555,0.37289779156342473,0.09087249679220341,11.4,0.10811185654468364
conservative_joint_tuning,85,False,32,10,0.001,0.01,[4],0.4,0.42283483806531513,0.01621598420117431,0.3142473219454553,0.055447533493657976,0.37289779156342473,0.09087249679220341,11.4,0.10858751611985984
conservative_joint_tuning,86,False,32,10,0.001,0.01,[4],0.5,0.42386145403489695,0.017960466435504124,0.3142473219454553,0.055447533493657976,0.3712171192945172,0.08742172971572032,11.4,0.10961413208944165
conservative_joint_tuning,74,False,32,10,0.001,0.001,[4],0.5,0.4238994768485851,0.018027448886438712,0.3142473219454553,0.055447533493657976,0.37155325374829873,0.08810987157191977,11.4,0.1096521549031298
conservative_joint_tuning,97,False,32,10,0.001,0.03,[4],0.4,0.42291088369269153,0.01634053309858979,0.3142473219454553,0.055447533493657976,0.37289779156342473,0.09087249679220341,11.4,0.10866356174723624
conservative_joint_tuning,3,False,32,10,0.0001,0.001,[4],0.6,0.4121884502326155,0.01631107300492158,0.31380968518396735,0.05636843583040845,0.37827594282392896,0.10206093124303105,11.4,0.09837876504864818
conservative_joint_tuning,15,False,32,10,0.0001,0.01,[4],0.6,0.4121884502326155,0.01631107300492158,0.31380968518396735,0.05636843583040845,0.37827594282392896,0.10206093124303105,11.4,0.09837876504864818
conservative_joint_tuning,27,False,32,10,0.0001,0.03,[4],0.6,0.41215042741892727,0.01637355812371758,0.31380968518396735,0.05636843583040845,0.37827594282392896,0.10206093124303105,11.4,0.09834074223495992
conservative_joint_tuning,26,False,32,10,0.0001,0.03,[4],0.5,0.412112404605239,0.016436245496865832,0.3133720484224794,0.057291250682399,0.37827594282392896,0.10206093124303105,11.4,0.09874035618275961
conservative_joint_tuning,14,False,32,10,0.0001,0.01,[4],0.5,0.412112404605239,0.016436245496865832,0.3133720484224794,0.057291250682399,0.37827594282392896,0.10206093124303105,11.4,0.09874035618275961
conservative_joint_tuning,2,False,32,10,0.0001,0.001,[4],0.5,0.41207438179155087,0.016499132819010043,0.3133720484224794,0.057291250682399,0.37827594282392896,0.10206093124303105,11.4,0.09870233336907147
conservative_joint_tuning,98,False,32,10,0.001,0.03,[4],0.5,0.4244698190539083,0.019049466558684478,0.31293441166099145,0.058215887100431185,0.3705448503869541,0.08604863237585804,11.4,0.11153540739291684
conservative_joint_tuning,1,False,32,10,0.0001,0.001,[4],0.4,0.412112404605239,0.016436245496865832,0.31293441166099145,0.058215887100431185,0.3779398083701474,0.10135603469976112,11.4,0.09917799294424756
conservative_joint_tuning,13,False,32,10,0.0001,0.01,[4],0.4,0.412112404605239,0.016436245496865832,0.31293441166099145,0.058215887100431185,0.3779398083701474,0.10135603469976112,11.4,0.09917799294424756
conservative_joint_tuning,25,False,32,10,0.0001,0.03,[4],0.4,0.41207438179155087,0.016499132819010043,0.31293441166099145,0.058215887100431185,0.3779398083701474,0.10135603469976112,11.4,0.09913997013055942
conservative_joint_tuning,61,False,32,10,0.0003,0.03,[4],0.4,0.4134432030843265,0.014379348781946268,0.31293441166099145,0.058215887100431185,0.37625913610123984,0.09784198559429573,11.4,0.10050879142333508
conservative_joint_tuning,49,False,32,10,0.0003,0.01,[4],0.4,0.4133671574569501,0.0144882901053269,0.31293441166099145,0.058215887100431185,0.37625913610123984,0.09784198559429573,11.4,0.10043274579595862
conservative_joint_tuning,37,False,32,10,0.0003,0.001,[4],0.4,0.4133671574569501,0.0144882901053269,0.31293441166099145,0.058215887100431185,0.37625913610123984,0.09784198559429573,11.4,0.10043274579595862
conservative_joint_tuning,62,False,32,10,0.0003,0.03,[4],0.5,0.4139374996622733,0.013701589334944244,0.31249677489950345,0.05914225964889128,0.3765952705550214,0.09854335463449046,11.4,0.10144072476276983
conservative_joint_tuning,50,False,32,10,0.0003,0.01,[4],0.5,0.4139374996622733,0.013701589334944244,0.31249677489950345,0.05914225964889128,0.3765952705550214,0.09854335463449046,11.4,0.10144072476276983
conservative_joint_tuning,38,False,32,10,0.0003,0.001,[4],0.5,0.41389947684858513,0.013751756817089992,0.31249677489950345,0.05914225964889128,0.3765952705550214,0.09854335463449046,11.4,0.10140270194908169
conservative_joint_tuning,75,False,32,10,0.001,0.001,[4],0.6,0.42549643502349,0.020959183263359663,0.31249677489950345,0.05914225964889128,0.3705448503869541,0.08604863237585804,11.4,0.11299966012398655
conservative_joint_tuning,87,False,32,10,0.001,0.01,[4],0.6,0.42553445783717825,0.021031395284538696,0.3120591381380155,0.060070288006748004,0.3705448503869541,0.08604863237585804,11.4,0.11347531969916275
conservative_joint_tuning,63,False,32,10,0.0003,0.03,[4],0.6,0.4141276137307144,0.013456005506574272,0.31162150137652744,0.06099989660155572,0.37625913610123984,0.09784198559429573,11.4,0.10250611235418694
conservative_joint_tuning,99,False,32,10,0.001,0.03,[4],0.6,0.42545841220980185,0.02088706767029022,0.31162150137652744,0.06099989660155572,0.3705448503869541,0.08604863237585804,11.4,0.11383691083327441
conservative_joint_tuning,51,False,32,10,0.0003,0.01,[4],0.6,0.41408959091702613,0.013504409010683949,0.31162150137652744,0.06099989660155572,0.37625913610123984,0.09784198559429573,11.4,0.10246808954049869
conservative_joint_tuning,39,False,32,10,0.0003,0.001,[4],0.6,0.41408959091702613,0.013504409010683949,0.31162150137652744,0.06099989660155572,0.37625913610123984,0.09784198559429573,11.4,0.10246808954049869
